,Instance,Sommets,Classes,Valeur gardient swap,Valeur gradient PnD,Valeur recuit simulé,Valeur méthode tabou,Succès gardient swap,Succès gradient PnD,Succès recuit simulé,Succès méthode tabou
0,dixSommets.txt,10,2,13,12,12,12,0,1,1,1
1,quinzeSommets.txt,15,2,43,43,43,43,1,1,1,1
2,dixSeptSommets.txt,17,2,60,60,60,60,1,1,1,1
3,vingtSommets.txt,20,2,40,39,39,39,0,1,1,1
4,vingtEtunSommets.txt,21,2,107,107,107,107,1,1,1,1
5,vingtDeuxSommets.txt,22,2,104,103,102,102,1,1,1,1
6,vingtTroisSommets.txt,23,2,116,116,116,116,1,1,1,1
7,vingtQuatreSommets.txt,24,2,131,129,129,129,1,1,1,1
8,vingtCinqSommets.txt,25,2,152,152,152,152,1,1,1,1
9,trenteSommets.txt,30,2,196,193,188,188,0,0,1,1
10,cinquanteSommets.txt,50,2,230,222,191,191,0,0,1,1
11,centSommets.txt,100,2,969,957,839,833,0,0,1,1
12,cinqCentSommets.txt,500,2,3755,3672,2893,3247,0,0,1,0
13,dixSommets.txt,10,4,22,22,21,21,0,0,1,1
14,quinzeSommets.txt,15,4,70,70,69,69,1,1,1,1
15,dixSeptSommets.txt,17,4,92,92,90,90,0,0,1,1
16,vingtSommets.txt,20,4,69,67,62,62,0,0,1,1
17,vingtEtunSommets.txt,21,4,162,162,161,161,1,1,1,1
18,vingtDeuxSommets.txt,22,4,163,163,162,162,1,1,1,1
19,vingtTroisSommets.txt,23,4,176,176,175,175,1,1,1,1
20,vingtQuatreSommets.txt,24,4,197,197,194,194,1,1,1,1
21,vingtCinqSommets.txt,25,4,230,230,229,229,1,1,1,1
22,trenteSommets.txt,30,4,300,298,296,296,1,1,1,1
23,cinquanteSommets.txt,50,4,364,360,312,305,0,0,0,1
24,centSommets.txt,100,4,1497,1476,1350,1299,0,0,0,1
25,cinqCentSommets.txt,500,4,5623,5580,4708,5515,0,0,1,0
26,dixSommets.txt,10,6,26,26,24,24,0,0,1,1
27,quinzeSommets.txt,15,6,79,79,78,78,1,1,1,1
28,dixSeptSommets.txt,17,6,102,102,100,100,1,1,1,1
29,vingtSommets.txt,20,6,81,79,74,74,0,0,1,1
30,vingtEtunSommets.txt,21,6,180,180,179,179,1,1,1,1
31,vingtDeuxSommets.txt,22,6,183,183,181,181,1,1,1,1
32,vingtTroisSommets.txt,23,6,196,196,194,194,1,1,1,1
33,vingtQuatreSommets.txt,24,6,219,219,215,215,1,1,1,1
34,vingtCinqSommets.txt,25,6,256,256,254,254,1,1,1,1
35,trenteSommets.txt,30,6,336,335,332,332,1,1,1,1
36,cinquanteSommets.txt,50,6,407,398,354,352,0,0,1,1
37,centSommets.txt,100,6,1665,1644,1480,1476,0,0,1,1
38,cinqCentSommets.txt,500,6,6275,6186,5331,6053,0,0,1,0
39,dixSommets.txt,10,8,28,28,27,27,0,0,1,1
40,quinzeSommets.txt,15,8,84,84,81,81,0,0,1,1
41,dixSeptSommets.txt,17,8,108,108,105,105,0,0,1,1
42,vingtSommets.txt,20,8,85,85,82,82,0,0,1,1
43,vingtEtunSommets.txt,21,8,189,189,187,187,1,1,1,1
44,vingtDeuxSommets.txt,22,8,193,193,190,190,1,1,1,1
45,vingtTroisSommets.txt,23,8,206,206,203,204,1,1,1,1
46,vingtQuatreSommets.txt,24,8,230,230,225,226,0,0,1,1
47,vingtCinqSommets.txt,25,8,269,269,266,266,1,1,1,1
48,trenteSommets.txt,30,8,353,353,350,350,1,1,1,1
49,cinquanteSommets.txt,50,8,430,428,381,379,0,0,1,1
50,centSommets.txt,100,8,1742,1733,1609,1571,0,0,0,1
51,cinqCentSommets.txt,500,8,6576,6509,5797,6443,0,0,1,0
,,,,,,,,27,29,49,48
